OBJECTID,x_coord,y_coord,presence
269,-108.11358026400,38.97634864100,0
270,-108.09404299100,38.97912019100,0
271,-108.09418559800,38.98602087700,0
272,-108.09104822600,38.97612691300,0
273,-108.09062040300,38.99505449400,0
274,-108.08912302000,38.99721574000,0
275,-108.08723346600,39.00142721100,0
276,-108.08584304000,39.00444712400,0
277,-108.08994301500,38.99341966100,0
278,-108.07792830500,38.99383530000,0
279,-108.07507614800,38.99427864600,0
280,-108.08003177100,39.00417007300,0
281,-108.05799886000,38.99391842700,0
282,-108.05496844300,38.99380759100,0
283,-108.05332845300,38.99663387300,0
284,-108.05083281600,38.99522074600,0
285,-108.04605545400,38.99657845700,0
286,-108.04352416500,38.99740969500,0
287,-108.04391633600,38.99358591700,0
288,-108.04733892400,38.99308714800,0
289,-108.05960319800,38.98588231600,0
290,-108.05853363900,38.97404817300,0
291,-108.05849798700,38.97313350800,0
292,-108.05471888000,38.97316122600,0
293,-108.06352491400,38.97374328600,0
294,-108.06334665400,38.97000138500,0
295,-108.23556298300,39.14066765100,0
296,-108.22593551100,39.13807036700,0
297,-108.22342399700,39.12930382600,0
298,-108.21156406700,39.12692260200,0
299,-108.23347005500,39.12800498700,0
300,-108.22495881100,39.11826292600,0
301,-108.21700568200,39.08231389600,0
302,-108.21281982400,39.08166404600,0
303,-108.21030831000,39.08014770700,0
304,-108.21435463800,39.07917290000,0
305,-108.21728473900,39.07278216500,0
306,-108.21309888100,39.07180725600,0
307,-108.21602898100,39.06931576100,0
308,-108.20444810900,39.04331230900,0
309,-108.20891302400,39.04179514500,0
310,-108.23485710300,39.04814061900,0
311,-108.23719587200,39.04774191200,0
312,-108.24158819300,39.04831782100,0
313,-108.24044733100,39.05757603000,0
314,-108.23325989600,39.05925921000,0
315,-108.22635767600,39.04667868200,0
316,-108.23132042900,39.04548252900,0
317,-108.23924942500,39.04583694700,0
318,-108.23331693900,39.05004552100,0
319,-108.21369410100,39.05412095500,0
320,-108.21415044600,39.06188356200,0
321,-108.21320923400,39.06003434500,0
322,-108.22217926700,39.06229326200,0
323,-108.19565420900,39.05180640300,0
324,-108.20060983200,39.04682266200,0
325,-108.21686712500,39.02818588900,0
326,-108.21380105600,39.02849054200,0
327,-108.21066368400,39.02574862300,0
328,-108.21458540000,39.02494541400,0
329,-108.20852456600,39.02267422300,0
330,-108.19889853700,39.02236954600,0
331,-108.20189330200,39.02846284600,0
332,-108.21091324800,39.02932140500,0
333,-108.20984368900,39.03231243300,0
334,-108.20645675300,39.02007057300,0
335,-108.21034281600,39.01957199100,0
336,-108.20795413500,39.01752222700,0
337,-108.20343822000,39.00361919700,0
338,-108.20051000600,39.00475695500,0
339,-108.20539670100,39.00644139400,0
340,-108.19556626800,39.00645616900,0
341,-108.19031829900,39.00811101700,0
342,-108.18910137900,39.00471262700,0
343,-108.18396749700,39.00722449600,0
344,-108.17984137700,39.00617543200,0
345,-108.18368228100,39.00456486700,0
346,-108.17409903500,39.01103645700,0
347,-108.17130392100,39.01410951500,0
348,-108.17018207300,39.00973627600,0
349,-108.17620963100,39.00082644200,0
350,-108.17193139600,39.00112197700,0
